category,subcategory,url,name,offer_price,oldPrice,image-src,items_sold,location
"Fashion Bayi & Anak","Sepatu Bayi","/-heybaby-C595-CUTESUNY-Sepatu-Prewalker-Casual-Anti-Selip-Aksen-Bunga-untuk-Bayi-Perempuan-0-18-i.4721912.5613553719","[heybaby] C595 CUTESUNY Sepatu Prewalker Casual Anti Selip Aksen Bunga untuk Bayi Perempuan 0-18","Rp45.750 - Rp46.750","","https://cf.shopee.co.id/file/4e1d1262a1764a159736b13d70344eea_tn","344 Terjual","KOTA SURABAYA"
"Fashion Bayi & Anak","Sepatu Bayi","/AVALA-Sepatu-Bayi-prewalker-Sepatu-bayi-Baru-Lahir-Usia-1-sampai-12-bulan-Warna-Random-BADUT-Depan-i.49041367.4729224068","AVALA Sepatu Bayi prewalker Sepatu bayi Baru Lahir Usia 1 sampai 12 bulan Warna Random BADUT Depan","Rp9.500 - Rp10.520","","https://cf.shopee.co.id/file/5233d5164edd3dd11fdc5d9b1ff77908_tn","1,1RB Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/MARCHER-Sepatu-Prewalker-Anti-Slip-Sneaker-Baby-First-Shoes-Walker-Anak-Bayi-Kets-Model-1-i.56372227.7414166882","MARCHER Sepatu Prewalker Anti-Slip Sneaker Baby First Shoes Walker Anak Bayi Kets Model 1","Rp34.900","","https://cf.shopee.co.id/file/576ba88cdf9a27611e1ec5128877bd1a_tn","1RB Terjual","KOTA JAKARTA SELATAN"
"Fashion Bayi & Anak","Sepatu Bayi","/SEPATU-PREWALKER-ANAK-PEREMPUAN-GLITTER-AP05-i.173898457.7333189005","SEPATU PREWALKER ANAK PEREMPUAN GLITTER AP05","Rp17.500","Rp25.000","https://cf.shopee.co.id/file/d4e4c6c1e172c99a4e2039e798318192_tn","819 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/TOPI-BAYI-SEPATU-BAYI-SET-SARUNG-TANGAN-SARUNG-KAKI-BAYI-BABYU-i.67449236.1217042274","TOPI BAYI, SEPATU BAYI, SET SARUNG TANGAN & SARUNG KAKI BAYI BABYU","Rp15.000 - Rp47.000","","https://cf.shopee.co.id/file/838febca3551809d9822423e8b8e0923_tn","2,4RB Terjual","KOTA BANDUNG"
"Fashion Bayi & Anak","Sepatu Bayi","/✨-superseller-✨-Sepatu-Princess-Bayi-Perempuan-Aksen-Renda-i.13484023.2151520154","✨ superseller ✨ Sepatu Princess Bayi Perempuan Aksen Renda","Rp29.110 - Rp32.660","","https://cf.shopee.co.id/file/3f03ff73f94d85cc564d8272cb7545ec_tn","1,1RB Terjual","Luar Negeri"
"Fashion Bayi & Anak","Sepatu Bayi","/BABY-SHOES-SlIP-ON-SOFT-SOLE-i.219803062.4740763293","BABY SHOES SlIP  ON SOFT SOLE","Rp13.000","Rp20.000","https://cf.shopee.co.id/file/4ce1a52e4a36795b745b2b6aebc805e2_tn","243 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/babyfit-FRILLS-prewalker-baby-girl-sepatu-anak-baby-import-i.12739619.7154119829","babyfit FRILLS prewalker baby girl sepatu anak baby import","Rp35.625","Rp47.500","https://cf.shopee.co.id/file/2545b22c78a98f315f98508633fe8531_tn","244 Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/DISKON-BESAR-BESARAN!-SEPATU-BALET-BAYI-PREWALKER-PEREMPUAN-AP03-i.173898457.5018140258","DISKON BESAR-BESARAN! SEPATU BALET BAYI PREWALKER PEREMPUAN AP03Grosir","Rp14.790","Rp17.400","https://cf.shopee.co.id/file/9775fce0630a127a79f1f6a7c6fe6b1a_tn","1,4RB Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/Sandal-Bayi-Sandal-Prewalkers-Bayi-Imut-i.17213609.2587471590","Sandal Bayi / Sandal Prewalkers Bayi Imut","Rp39.900","","https://cf.shopee.co.id/file/25d02c98f6fe7ee45298a08a9d44b526_tn","1,2RB Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/babyfit-SEAWOLT-prewalker-anak-sepatu-bayi-import-i.12739619.3654372351","babyfit SEAWOLT prewalker anak sepatu bayi import","Rp37.125","Rp49.500","https://cf.shopee.co.id/file/b3448660cd060e0b0f8f02d0df0e121f_tn","353 Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Casual-Dengan-Bahan-Breathable-Dan-Sole-Halus-Untuk-Laki-Laki-Perempuan-i.66641781.6936978236","Sepatu Casual Dengan Bahan Breathable Dan Sole Halus Untuk Laki-Laki/Perempuan","Rp54.999","Rp120.000","https://cf.shopee.co.id/file/0686618378ee5c2d50ea723aaa4ab708_tn","180 Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/romper-bayi-baju-bayi-aqiqoh-BORDIR--i.76581231.7248148429","romper bayi baju bayi aqiqoh //BORDIR//Pilih 4, diskon Rp7.000","Rp46.250","Rp62.500","https://cf.shopee.co.id/file/d045c756cf686d7543767e87d6b66e50_tn","221 Terjual","KOTA SURABAYA"
"Fashion Bayi & Anak","Sepatu Bayi","/-BISA-COD-Prewalker-shoes-Skidshoes-Skidder-Sailor-Boy-Set-Sepatu-Bayi-merk-Cotton’s-Mill-i.19557194.5616655969","[BISA COD] Prewalker shoes Skidshoes/Skidder Sailor Boy Set Sepatu Bayi merk Cotton’s Mill","Rp34.000","","https://cf.shopee.co.id/file/62fa28264ec79093f9568d9c3eae2ea9_tn","496 Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/Kaos-Kaki-Bayi-Kaos-Kaki-Sepatu-Bayi-Kaos-Kaki-Anak-Lucu-i.17213609.1315548890","Kaos Kaki Bayi / Kaos Kaki Sepatu Bayi / Kaos Kaki Anak Lucu","Rp24.900","","https://cf.shopee.co.id/file/540438253cd47f0610561ff2861cb210_tn","1,3RB Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/babyfit-POINTOE-sepatu-prewalker-anak-baby-perempuan-import-i.12739619.4454654451","babyfit POINTOE sepatu prewalker anak baby perempuan import","Rp35.625","Rp47.500","https://cf.shopee.co.id/file/162a2166c26d3f30a9e36b0820e5be2c_tn","248 Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/kaos-kaki-bayi-anti-slip-motif-baby-kids-shocks-sepatu-bayi-perempuan-i.76033979.4915267837","kaos kaki bayi anti slip motif/baby kids shocks/sepatu bayi perempuan","Rp12.500","","https://cf.shopee.co.id/file/1025e19dcf7fdd69069774ae47b608e8_tn","1,1RB Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/Kaos-Kaki-Lantai-Bahan-Velvet-Tebal-Hangat-Anti-Slip-untuk-Bayi-Anak-i.13484023.7902616541","Kaos Kaki Lantai Bahan Velvet Tebal Hangat Anti Slip untuk Bayi / Anak","Rp33.796 - Rp36.778","","https://cf.shopee.co.id/file/6029f01fda1a749a8c7d1f255037872d_tn","1,1RB Terjual","Luar Negeri"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Bayi-prewalker-Sepatu-bayi-Baru-Lahir-Usia-1-sampai-12-bulan-Fita-Depan-i.161483232.6341541290","Sepatu Bayi prewalker Sepatu bayi Baru Lahir Usia 1 sampai 12 bulan Fita Depan","Rp39.000 - Rp42.000","","https://cf.shopee.co.id/file/6846ae6a8375b07e105c15d64abc4640_tn","91 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/LKM048-1KG-28PC-LITTLE-KUMA-PREWALKER-BAYI-LAKI-LAKI-PEREMPUAN-SEPATU-BERSOL-LEMBUT-ANTI-SLIP-i.182900182.4612022702","LKM048 [1KG 28PC] LITTLE KUMA PREWALKER BAYI LAKI LAKI PEREMPUAN / SEPATU BERSOL LEMBUT ANTI SLIPGrosir","Rp30.850","Rp38.000","https://cf.shopee.co.id/file/7fedc4953f0abac345279ff2b121ad0b_tn","774 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Anak-Laki-Laki-Pororo-Usia-1-3-Tahun-Sepatu-Anak-Balita-Murah-i.280606668.4148437846","Sepatu Anak Laki-Laki Pororo Usia 1-3 Tahun/Sepatu Anak Balita MurahHadiah Gratis","Rp21.900 - Rp24.900","","https://cf.shopee.co.id/file/ffd6a65425281e4789da34a1b01b7eb2_tn","131 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-Kaos-Kaki-Sepatu-Prewalker-Sepatu-Bayi-Balita-i.55182735.1801335384","Sepatu Kaos Kaki / Sepatu Prewalker / Sepatu Bayi Balita","Rp15.989","","https://cf.shopee.co.id/file/8f66ab1ffd06d90cea61acb142f2d81a_tn","2,5RB Terjual","KAB. MALANG"
"Fashion Bayi & Anak","Sepatu Bayi","/PREWALKER-BAYI-ANAK-3D-dengan-anti-slip-0-12-bulan-Nyaman-dan-CUTE-i.9597839.3737958167","PREWALKER BAYI ANAK 3D dengan anti slip 0-12 bulan Nyaman dan CUTEGrosir","Rp19.900","","https://cf.shopee.co.id/file/624b627426996c315c3d1ac0a7be24ca_tn","455 Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/LKM165-Sepatu-Anak-Bayi-Prewalker-Sole-Bahan-Halus-Anti-Slip-dan-Bermotif-1KG-21PC-LITTLE-KUMA-i.182900182.7338522067","LKM165 Sepatu Anak Bayi Prewalker Sole Bahan Halus Anti-Slip dan Bermotif [1KG 21PC] LITTLE KUMA","Rp37.990","","https://cf.shopee.co.id/file/383d0df800129aff3b03e400c0beaf36_tn","390 Terjual","KOTA JAKARTA BARAT"
"Fashion Bayi & Anak","Sepatu Bayi","/Kaos-Kaki-Rajut-Newborn-Bahan-Halus-cherrybabykidsshop-JH-i.4756994.2861819489","Kaos Kaki Rajut Newborn Bahan Halus cherrybabykidsshop JH","Rp33.000","","https://cf.shopee.co.id/file/c156dab9d35ea7881623687c20f7e204_tn","2,6RB Terjual","KOTA JAKARTA UTARA"
"Fashion Bayi & Anak","Sepatu Bayi","/Hibts-Kaos-Kaki-Bayi-Laki-laki-Perempuan-Anti-Slip-dengan-Sol-Lembut-Gambar-Kartun-i.143659839.5310780172","Hibts Kaos Kaki Bayi Laki-laki / Perempuan Anti Slip dengan Sol Lembut Gambar Kartun","Rp28.400 - Rp32.660","","https://cf.shopee.co.id/file/af3c289b94c069729d1bd7f8b4a5f7e8_tn","591 Terjual","Luar Negeri"
"Fashion Bayi & Anak","Sepatu Bayi","/Sepatu-bayi-laki-laki-Sepatu-bayi-Prewalker-ASIC-Trendi-Oke-umur-6-24-bulan-i.49041367.7637893908","Sepatu bayi laki laki Sepatu bayi Prewalker ASIC  Trendi Oke umur 6 -24 bulan","Rp13.500","Rp30.000","https://cf.shopee.co.id/file/e89100015ff98e75ea06462516bdfccd_tn","799 Terjual","KAB. BOGOR"
"Fashion Bayi & Anak","Sepatu Bayi","/Prewalker-baby-sepatu-kets-belajar-berjalan-untuk-bayi-import-motif-Baby-i.18638126.5825811312","Prewalker baby / sepatu kets belajar berjalan untuk bayi import motif Baby","Rp29.302 - Rp29.900","","https://cf.shopee.co.id/file/320d50c3951af50317d5e9c8be460303_tn","336 Terjual","KOTA MALANG"
"Fashion Bayi & Anak","Sepatu Bayi","/PREMIUM-SKIDDERS-PREWALKER-SHOES-SEPATU-BAYI-ALAS-KARET-i.14102390.5215174736","PREMIUM SKIDDERS PREWALKER SHOES / SEPATU BAYI ALAS KARET","Rp68.500","","https://cf.shopee.co.id/file/0db54ebebaeeb0803bb3057ad83def40_tn","367 Terjual","KOTA TANGERANG"
